q1,q2,q3,q4,q5,mis1,mis2,mis3,mis4,mis5,sample
7.887,5.707,6.063,8.991,7.345,0.122,0.229,0.273,0.060,0.008,mod
7.106,8.246,6.172,7.817,6.186,0.420,0.047,0.326,0.093,0.252,mod
4.343,4.352,5.494,7.077,8.979,0.507,0.298,0.020,0.038,0.017,mod
8.079,9.981,8.183,6.475,6.983,0.133,0.108,0.198,0.110,0.089,mod
9.980,11.177,11.835,5.951,5.977,0.134,0.068,0.071,0.115,0.418,mod
13.249,11.693,7.426,7.844,9.652,0.061,0.088,0.227,0.246,0.059,mod
8.799,9.876,9.183,6.469,7.167,0.071,0.019,0.011,0.171,0.093,mod
12.992,12.142,10.095,10.703,6.596,0.018,0.075,0.019,0.023,0.060,mod
11.008,6.114,6.378,6.870,8.686,0.089,0.060,0.113,0.028,0.078,mod
8.314,8.989,7.773,8.159,10.369,0.297,0.169,0.136,0.135,0.134,mod
7.614,5.496,6.095,5.322,6.960,0.149,0.015,0.064,0.102,0.070,mod
10.113,11.937,20.388,14.584,9.315,0.232,0.065,0.001,0.009,0.016,mod
11.247,20.010,15.175,7.207,7.993,0.056,0.014,0.015,0.024,0.025,mod
8.672,7.912,8.617,7.899,11.887,0.015,0.095,0.008,0.059,0.057,mod
15.706,13.294,9.512,13.910,16.369,0.041,0.058,0.086,0.048,0.024,mod
9.847,10.189,11.960,16.482,14.142,0.105,0.037,0.058,0.015,0.026,mod
7.726,5.268,8.441,9.944,5.541,0.260,0.156,0.018,0.013,0.027,mod
15.068,16.247,17.782,20.527,15.998,0.055,0.082,0.043,0.030,0.024,mod
8.531,9.705,7.329,10.327,18.105,0.215,0.290,0.468,0.191,0.015,mod
6.123,6.795,8.795,9.498,10.204,0.145,0.143,0.146,0.104,0.097,mod
10.111,10.218,9.942,12.579,10.258,0.009,0.067,0.273,0.141,0.018,mod
8.206,7.196,8.225,10.534,11.418,0.153,0.007,0.011,0.074,0.007,mod
10.825,10.497,14.960,12.277,7.807,0.042,0.140,0.041,0.023,0.564,mod
14.202,6.705,8.386,6.653,6.403,0.135,0.147,0.005,0.091,0.416,mod
8.064,7.522,10.721,11.283,16.871,0.085,0.108,0.006,0.062,0.032,mod
8.510,7.680,8.064,10.788,11.718,0.050,0.522,0.393,0.032,0.166,mod
8.330,8.667,5.539,5.787,5.273,0.099,0.152,0.109,0.307,0.473,mod
7.721,9.363,6.252,6.482,5.727,0.234,0.050,0.235,0.103,0.250,mod
8.446,9.376,8.058,8.008,5.187,0.102,0.002,0.005,0.023,0.244,mod
11.212,9.806,10.384,5.984,7.972,0.029,0.048,0.021,0.041,0.083,mod
10.018,6.392,9.673,12.172,7.046,0.305,0.095,0.024,0.012,0.017,mod
13.506,15.979,10.999,11.431,8.470,0.017,0.013,0.469,0.019,0.047,mod
6.106,6.249,5.971,6.218,5.662,0.031,0.027,0.126,0.021,0.023,mod
7.171,6.220,7.744,7.115,6.695,0.113,0.270,0.194,0.249,0.389,mod
7.822,6.266,7.867,7.354,6.792,0.154,0.145,0.300,0.144,0.253,mod
13.740,9.739,9.656,10.971,10.090,0.013,0.041,0.120,0.026,0.244,mod
8.095,7.216,7.907,7.820,10.049,0.077,0.135,0.180,0.181,0.052,mod
10.283,13.166,9.732,9.319,10.210,0.332,0.086,0.121,0.018,0.031,mod
7.894,7.024,7.115,7.498,6.779,0.194,0.302,0.183,0.142,0.033,mod
10.221,8.613,10.252,8.497,6.118,0.010,0.317,0.024,0.076,0.080,mod
13.087,8.819,9.942,14.313,13.140,0.043,0.045,0.115,0.059,0.216,mod
7.856,9.144,6.264,7.824,7.099,0.089,0.029,0.318,0.272,0.047,mod
11.393,10.194,5.698,5.241,9.536,0.101,0.077,0.023,0.134,0.020,mod
11.577,7.967,9.515,10.337,8.491,0.088,0.280,0.034,0.037,0.074,mod
7.082,6.429,6.507,9.027,10.622,0.060,0.673,0.560,0.504,0.152,mod
11.585,6.800,8.284,7.053,7.100,0.075,0.087,0.075,0.202,0.352,mod
11.322,15.716,10.991,7.271,8.457,0.052,0.015,0.073,0.129,0.136,mod
4.242,7.491,8.460,5.389,10.366,0.294,0.151,0.041,0.688,0.783,mod
6.845,9.777,10.717,7.864,7.265,0.115,0.054,0.021,0.268,0.166,mod
7.544,8.596,7.860,11.813,12.502,0.085,0.008,0.108,0.030,0.025,mod
